Date, Cumulative kWh, Delta +kWh, Days +kWh, Weeks +kWh, Months +kWh, Years +kWh
2022-12-31 17:00, 618.83, 0.29,  0.59,  6.29,  34.84,  169.73
2022-12-31 18:00, 618.83, 0.00,  0.59,  6.29,  34.84,  169.73
2022-12-31 19:00, 618.99, 0.16,  0.75,  6.45,  35.00,  169.89
2022-12-31 20:00, 618.99, 0.00,  0.75,  6.45,  35.00,  169.89
2022-12-31 21:00, 618.99, 0.00,  0.75,  6.45,  35.00,  169.89
2022-12-31 22:00, 618.99, 0.00,  0.75,  6.45,  35.00,  169.89
2022-12-31 23:00, 618.99, 0.00,  0.75,  6.45,  35.00,  169.89
2023-01-01 00:00, 619.26, 0.27,  0.27,  0.27,  0.27,  0.27
2023-01-01 01:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 02:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 03:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 04:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 05:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 06:00, 619.26, 0.00,  0.27,  0.27,  0.27,  0.27
2023-01-01 07:00, 619.42, 0.16,  0.43,  0.43,  0.43,  0.43
2023-01-01 08:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 09:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 10:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 11:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 12:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 13:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 14:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 15:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 16:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 17:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 18:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 19:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 20:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 21:00, 619.42, 0.00,  0.43,  0.43,  0.43,  0.43
2023-01-01 22:00, 619.68, 0.26,  0.69,  0.69,  0.69,  0.69
2023-01-01 23:00, 619.68, 0.00,  0.69,  0.69,  0.69,  0.69
2023-01-02 00:00, 619.68, 0.00,  0.00,  0.00,  0.69,  0.69
2023-01-02 01:00, 619.78, 0.10,  0.10,  0.10,  0.79,  0.79
2023-01-02 02:00, 619.78, 0.00,  0.10,  0.10,  0.79,  0.79
2023-01-02 03:00, 619.79, 0.01,  0.11,  0.11,  0.80,  0.80
2023-01-02 04:00, 619.79, 0.00,  0.11,  0.11,  0.80,  0.80
2023-01-02 05:00, 619.79, 0.00,  0.11,  0.11,  0.80,  0.80
2023-01-02 06:00, 619.79, 0.00,  0.11,  0.11,  0.80,  0.80
2023-01-02 07:00, 619.92, 0.13,  0.24,  0.24,  0.93,  0.93
2023-01-02 08:00, 619.92, 0.00,  0.24,  0.24,  0.93,  0.93
2023-01-02 09:00, 619.92, 0.00,  0.24,  0.24,  0.93,  0.93
2023-01-02 10:00, 619.92, 0.00,  0.24,  0.24,  0.93,  0.93
2023-01-02 11:00, 619.93, 0.01,  0.25,  0.25,  0.94,  0.94
2023-01-02 12:00, 619.93, 0.00,  0.25,  0.25,  0.94,  0.94
2023-01-02 13:00, 619.93, 0.00,  0.25,  0.25,  0.94,  0.94
2023-01-02 14:00, 619.93, 0.00,  0.25,  0.25,  0.94,  0.94
2023-01-02 15:00, 619.93, 0.00,  0.25,  0.25,  0.94,  0.94
2023-01-02 16:00, 619.94, 0.01,  0.26,  0.26,  0.95,  0.95
2023-01-02 17:00, 619.94, 0.00,  0.26,  0.26,  0.95,  0.95
2023-01-02 18:00, 619.94, 0.00,  0.26,  0.26,  0.95,  0.95
2023-01-02 19:00, 619.94, 0.00,  0.26,  0.26,  0.95,  0.95
2023-01-02 20:00, 619.94, 0.00,  0.26,  0.26,  0.95,  0.95
2023-01-02 21:00, 619.95, 0.01,  0.27,  0.27,  0.96,  0.96
2023-01-02 22:00, 620.05, 0.10,  0.37,  0.37,  1.06,  1.06
2023-01-02 23:00, 620.05, 0.00,  0.37,  0.37,  1.06,  1.06
2023-01-03 00:00, 620.05, 0.00,  0.00,  0.37,  1.06,  1.06
2023-01-03 01:00, 620.05, 0.00,  0.00,  0.37,  1.06,  1.06
2023-01-03 02:00, 620.06, 0.01,  0.01,  0.38,  1.07,  1.07
2023-01-03 03:00, 620.06, 0.00,  0.01,  0.38,  1.07,  1.07
2023-01-03 04:00, 620.06, 0.00,  0.01,  0.38,  1.07,  1.07
2023-01-03 05:00, 620.06, 0.00,  0.01,  0.38,  1.07,  1.07
2023-01-03 06:00, 620.18, 0.12,  0.13,  0.50,  1.19,  1.19
