Date, Cumulative kWh, Delta +kWh
2022-12-30 23:00, 618.24, 1.24
2022-12-31 23:00, 618.99, 0.75
2023-01-01 23:00, 619.68, 0.69
2023-01-02 23:00, 620.05, 0.37
2023-01-03 23:00, 620.68, 0.63
2023-01-04 23:00, 621.31, 0.63
2023-01-05 23:00, 621.95, 0.64
2023-01-06 23:00, 622.48, 0.53
2023-01-07 23:00, 622.98, 0.50
2023-01-08 23:00, 623.52, 0.54
2023-01-09 23:00, 624.47, 0.95
2023-01-10 23:00, 625.14, 0.67
2023-01-11 23:00, 625.61, 0.47
2023-01-12 23:00, 626.69, 1.08
2023-01-13 23:00, 627.49, 0.80
2023-01-14 23:00, 628.54, 1.05
2023-01-15 23:00, 629.87, 1.33
2023-01-16 23:00, 630.68, 0.81
2023-01-17 23:00, 631.35, 0.67
2023-01-18 23:00, 632.97, 1.62
2023-01-19 23:00, 633.80, 0.83
2023-01-20 23:00, 634.53, 0.73
2023-01-21 23:00, 635.75, 1.22
2023-01-22 23:00, 637.20, 1.45
2023-01-23 23:00, 638.24, 1.04
2023-01-24 23:00, 639.46, 1.22
2023-01-25 23:00, 640.60, 1.14
2023-01-26 23:00, 641.51, 0.91
2023-01-27 23:00, 642.44, 0.93
2023-01-28 23:00, 643.25, 0.81
2023-01-29 23:00, 644.56, 1.31
2023-01-30 23:00, 645.40, 0.84
2023-01-31 23:00, 646.52, 1.12
2023-02-01 23:00, 647.34, 0.82
2023-02-02 23:00, 648.13, 0.79
2023-02-03 23:00, 649.13, 1.00
