Date, Cumulative kWh, Delta +kWh
2022-07-24 23:00, 548.49, 2.26
2022-07-31 23:00, 551.42, 2.93
2022-08-07 23:00, 553.33, 1.91
2022-08-14 23:00, 555.96, 2.63
2022-08-21 23:00, 558.26, 2.30
2022-08-28 23:00, 561.19, 2.93
2022-09-04 23:00, 562.65, 1.46
2022-09-11 23:00, 562.80, 0.15
2022-09-18 23:00, 562.91, 0.11
2022-09-25 23:00, 564.13, 1.22
2022-10-02 23:00, 566.07, 1.94
2022-10-09 23:00, 567.09, 1.02
2022-10-16 23:00, 569.60, 2.51
2022-10-23 23:00, 571.34, 1.74
2022-10-30 23:00, 572.33, 0.99
2022-11-06 23:00, 574.20, 1.87
2022-11-13 23:00, 576.37, 2.17
2022-11-20 23:00, 578.71, 2.34
2022-11-27 23:00, 582.35, 3.64
2022-12-04 23:00, 588.07, 5.72
2022-12-11 23:00, 594.10, 6.03
2022-12-18 23:00, 604.55, 10.45
2022-12-25 23:00, 612.54, 7.99
2022-12-31 23:00, 618.99, 6.45
2023-01-01 23:00, 619.68, 0.69
2023-01-08 23:00, 623.52, 3.84
2023-01-15 23:00, 629.87, 6.35
2023-01-22 23:00, 637.20, 7.33
2023-01-29 23:00, 644.56, 7.36
